iso2c,year,cpi
TR,1990,0.0670945665615029
TR,1991,0.11135646393108
TR,1992,0.18938704631898
TR,1993,0.314566358732464
TR,1994,0.648833154774941
TR,1995,1.22050514094352
TR,1996,2.20114321996674
TR,1997,4.08825465461977
TR,1998,7.54860800098826
TR,1999,12.4451997261408
TR,2000,19.279528747306
TR,2001,29.7676278672134
TR,2002,43.1523808387356
TR,2003,54.068365844557
TR,2004,59.7910894141604
TR,2005,65.8529521674142
TR,2006,72.1730194319881
TR,2007,78.4926195814649
TR,2008,86.6904895366218
TR,2009,92.1094917787741
TR,2010,100
TR,2011,106.471879671151
TR,2012,115.938901345291
TR,2013,124.626307922272
TR,2014,135.661434977578
UG,1993,36.0940476153757
UG,1994,39.7167205052214
UG,1995,42.3182213770662
UG,1996,45.3615983077443
UG,1997,49.0671969995158
UG,1998,49.1009572781341
UG,1999,51.9377007561817
UG,2000,53.6994387766516
UG,2001,54.7010005634685
UG,2002,54.5437305308278
UG,2003,59.278386250326
UG,2004,61.484305392365
UG,2005,66.6789461480449
UG,2006,71.553627951572
UG,2007,75.9459551546768
UG,2008,85.0980925051349
UG,2009,96.1755292184112
UG,2010,100
UG,2011,118.692904478175
UG,2012,135.328969106878
UG,2013,142.72388782754
UG,2014,148.844186806165
UA,1992,0.00419326657210619
UA,1993,0.202740847121413
UA,1994,2.00954243712993
UA,1995,9.58041669936079
UA,1996,17.2759344546176
UA,1997,20.0298219612163
UA,1998,22.148408507762
UA,1999,27.1724808039447
UA,2000,34.8359619872905
UA,2001,39.0019279840854
UA,2002,39.297336717132
UA,2003,41.3328121505597
UA,2004,45.072633042599
UA,2005,51.1887984597883
UA,2006,55.8246181072121
UA,2007,62.9926081502875
UA,2008,78.8868469414546
UA,2009,91.4255710160149
UA,2010,100
UA,2011,107.960094512996
UA,2012,108.559872815846
UA,2013,108.259983664421
UA,2014,121.480097089739
AE,2007,86.9540244505931
AE,2008,97.606257865569
AE,2009,99.1287212337473
AE,2010,100
AE,2011,100.876836632777
AE,2012,101.546726725813
AE,2013,102.664442818204
AE,2014,105.071620061744
GB,1988,55.456067554779
GB,1989,58.3606318701317
GB,1990,62.4299337555507
GB,1991,67.1325616946932
GB,1992,69.9934483511684
GB,1993,71.7478343160806
GB,1994,73.1673582295989
GB,1995,75.1110140496469
GB,1996,76.974594161753
GB,1997,78.3431608065807
GB,1998,79.587974084589
GB,1999,80.6507971172745
GB,2000,81.284123170998
GB,2001,82.2887093251802
GB,2002,83.3224139186139
GB,2003,84.4580330494285
GB,2004,85.5936521802431
GB,2005,87.3480381451555
GB,2006,89.3863288927713
GB,2007,91.4610176894519
GB,2008,94.7659605445145
GB,2009,96.8188105117563
GB,2010,100
GB,2011,104.484239644755
GB,2012,107.432481618985
GB,2013,110.176894518454
GB,2014,111.785688287108
US,1960,13.572165966081
US,1961,13.718091436813
US,1962,13.8711951358863
US,1963,14.03960920502
US,1964,14.2233336439079
US,1965,14.4606443773949
US,1966,14.8931623272897
US,1967,15.3065423148003
US,1968,15.9521295791623
US,1969,16.8158896148438
US,1970,17.807236066305
US,1971,18.5650993766924
US,1972,19.1787900371827
US,1973,20.3717230257825
US,1974,22.619795673842
US,1975,24.6854197471085
US,1976,26.1016289635747
US,1977,27.7947007024806
US,1978,29.920290391294
US,1979,33.2911234992115
US,1980,37.7885446595018
US,1981,41.6866348246203
US,1982,44.254788345169
US,1983,45.6764447583299
US,1984,47.6484197830369
US,1985,49.3452355019708
US,1986,50.2624331878811
US,1987,52.1426884439971
US,1988,54.2331348364673
US,1989,56.8509698983364
US,1990,59.9197604891108
US,1991,62.4573407534628
US,1992,64.3490609806526
US,1993,66.2484245218915
US,1994,67.9758134970225
US,1995,69.8828203523108
US,1996,71.9312285175104
US,1997,73.612757608346
US,1998,74.7554330587089
US,1999,76.391102265249
US,2000,78.9707207568715
US,2001,81.2025684592533
US,2002,82.4904668765521
US,2003,84.3630788186188
US,2004,86.6216781201728
US,2005,89.5605323721102
US,2006,92.4497050827274
US,2007,95.0869923788516
US,2008,98.7374773853445
US,2009,98.3864199710624
US,2010,100
US,2011,103.156841568622
US,2012,105.291504532868
US,2013,106.833848874866
US,2014,108.566932118964
UY,1960,3.75018822060766E-06
UY,1961,4.60325343515101E-06
UY,1962,5.10534982266463E-06
UY,1963,6.19047639278891E-06
UY,1964,8.81334506955402E-06
UY,1965,1.379786955835E-05
UY,1966,2.39341561409797E-05
UY,1967,4.53014451885045E-05
UY,1968,0.000102080913524593
UY,1969,0.000123483878392902
UY,1970,0.000143619338585627
UY,1971,0.0001780206064435
UY,1972,0.000314179531599634
UY,1973,0.000618925085442398
UY,1974,0.00109681827264831
UY,1975,0.00198968739935378
UY,1976,0.00299692783762691
UY,1977,0.00474102520728253
UY,1978,0.00685307340997319
UY,1979,0.0114339614126068
UY,1980,0.0186917633704725
UY,1981,0.0250554369882834
